,loan_amnt,int_rate,installment,emp_length,annual_inc,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,term_ 36 months,term_ 60 months,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation
1264,7000.0,7.02,216.21,7,79950.0,1,11.41,0.0,1.0,8.0,1.0,9585.0,38.0,19.0,1.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1269,28000.0,17.97,1011.85,5,45000.0,1,26.77,2.0,0.0,8.0,0.0,9307.0,35.0,20.0,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1278,26000.0,15.57,626.35,10,69000.0,1,22.9,0.0,0.0,20.0,0.0,47458.0,49.6,27.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1288,1200.0,15.57,41.94,5,60000.0,1,22.5,0.0,0.0,7.0,0.0,15790.0,58.5,16.0,0.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1299,5000.0,20.0,185.82,0,44000.0,0,28.72,0.0,2.0,15.0,0.0,30612.0,54.6,23.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1345,18000.0,8.19,565.64,0,224000.0,1,14.83,0.0,0.0,16.0,0.0,9581.0,24.0,29.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1456,16000.0,22.5,615.2,6,60000.0,1,15.16,0.0,1.0,7.0,0.0,11211.0,40.8,12.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1484,40000.0,16.4,981.25,0,130000.0,1,8.49,1.0,0.0,19.0,0.0,23126.0,41.7,30.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1504,5000.0,20.0,185.82,0,24000.0,1,5.0,0.0,1.0,3.0,1.0,4001.0,56.0,17.0,1.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1512,14000.0,17.19,349.37,0,60000.0,1,14.64,0.0,0.0,6.0,0.0,4537.0,27.8,12.0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
